Kenteken,Voertuigsoort,Merk,Handelsbenaming,Datum tenaamstelling,Inrichting,Aantal zitplaatsen,Eerste kleur,Aantal cilinders,Cilinderinhoud,Europese voertuigcategorie
VE8797,Motorfiets,HONDA,DREAM C 77,20040624,Niet geregistreerd,,N.v.t.,2,305,L3
DBX02G,Bromfiets,PIAGGIO,N/A,20211022,N.v.t.,1,N.v.t.,1,50,L1
21JRLH,Personenauto,AUDI,AUDI A2,20200714,hatchback,5,ROOD,4,"1,390",M1
1TRD61,Personenauto,VOLKSWAGEN,POLO,20180206,hatchback,5,ZWART,4,"1,390",M1
XJ846N,Personenauto,VOLKSWAGEN,GOLF,20220709,stationwagen,5,BLAUW,4,"1,598",M1
69XLP5,Personenauto,FIAT,FIAT PUNTO,20150630,MPV,5,GRIJS,2,875,M1
42VBF6,Bedrijfsauto,FIAT,DOBLO 1.9 JTD LANG,20150105,gesloten opbouw,2,N.v.t.,4,"1,910",N1
ML34GX,Motorfiets,HONDA,VT 600,20180426,Niet geregistreerd,,N.v.t.,2,583,L3
KD69XS,Personenauto,OPEL,"MANTA 1,8 S",19970926,Niet geregistreerd,,WIT,4,,M1
94KSP6,Personenauto,FORD,FIESTA,20180717,hatchback,5,ZWART,4,"1,242",M1
72RTR3,Personenauto,CITROEN,CITROEN C1,20220708,hatchback,4,ZWART,3,998,M1
65ZSR2,Personenauto,PEUGEOT,508,20220421,sedan,5,BRUIN,4,"1,997",M1
TVF37G,Land- of bosbouwtrekker,EICHER,PUMA ES200,20211206,Niet geregistreerd,,N.v.t.,,,T
01PTRJ,Personenauto,FIAT,FIAT PANDA,20171223,hatchback,4,GRIJS,4,"1,242",M1
PN419X,Personenauto,MERCEDES-BENZ,A 250,20170829,stationwagen,5,GRIJS,4,"1,991",M1
GD550H,Personenauto,VOLKSWAGEN,GOLF,20220709,stationwagen,5,BLAUW,4,"1,395",M1
FLB08K,Bromfiets,E-MAX,N/A,20220520,N.v.t.,2,N.v.t.,,,L1
PV713N,Personenauto,MINI,ONE,20220617,hatchback,4,WIT,3,"1,198",M1
53ZLBL,Personenauto,VOLVO,V50,20161230,stationwagen,5,ZWART,4,"1,798",M1
FP789D,Bromfiets,DERBI,GP1 50,20180906,N.v.t.,2,N.v.t.,1,49,L1
30ZPNL,Personenauto,OPEL,CORSA,20220709,MPV,5,ZWART,4,"1,229",M1
04LXPX,Personenauto,VOLVO,V70,20200619,stationwagen,5,GRIJS,5,"2,435",M1
G868XB,Personenauto,TESLA,MODEL X,20191216,MPV,5,WIT,,,M1
05TRX1,Personenauto,PEUGEOT,206+,20120424,hatchback,5,ZWART,4,"1,360",M1
80NBDD,Personenauto,LAND ROVER,RANGE ROVER,20120417,stationwagen,5,GROEN,8,"4,398",M1
58JPF8,Personenauto,MERCEDES-BENZ,A 200 TURBO,20200421,stationwagen,5,BLAUW,4,"2,035",M1
TPH43L,Land- of bosbouwtrekker,HANOMAG,R 16 B,20211027,Niet geregistreerd,,N.v.t.,,,T
TZSN58,Personenauto,MERCEDES-BENZ,C 220 CDI,20191007,sedan,5,BLAUW,4,"2,151",M1
NV795K,Personenauto,RENAULT,TWINGO,20170429,hatchback,4,ROOD,3,999,M1
H298RF,Personenauto,SKODA,OCTAVIA,20200409,stationwagen,5,BLAUW,3,999,M1
85NVD7,Personenauto,OPEL,AGILA,20180824,stationwagen,5,GRIJS,4,"1,242",M1
NT868B,Personenauto,VOLVO,V50,20200801,MPV,5,GRIJS,5,"1,984",M1
17THXT,Personenauto,FIAT,FIAT DOBLO,20171012,MPV,5,GRIJS,4,"1,368",M1
MJZV40,Motorfiets,HONDA,PC36,20100821,Niet geregistreerd,,N.v.t.,4,600,L3
VKD29J,Bedrijfsauto,VOLKSWAGEN,CRAFTER,20210415,gesloten opbouw,2,N.v.t.,4,"1,968",N1
TFN60D,Land- of bosbouwtrekker,FERGUSON,TED-20,20210408,Niet geregistreerd,,N.v.t.,,,T
F082HG,Bromfiets,PEUGEOT,VIVACITY,20120322,N.v.t.,2,N.v.t.,1,49,L1
LZFX97,Personenauto,PEUGEOT,306 CABRIOLET 2.0 E2,20181222,cabriolet,,ZWART,4,"1,998",M1
76SBKG,Personenauto,FORD,FOCUS,20220607,hatchback,5,GRIJS,4,"1,596",M1
60TTXG,Personenauto,RENAULT,TWINGO,20130318,hatchback,4,GROEN,4,"1,149",M1
93PFR6,Personenauto,BMW,X3 XDRIVE20D,20220709,stationwagen,5,BLAUW,4,"1,995",M1
NT437J,Personenauto,RENAULT,CLIO,20200708,hatchback,5,ROOD,3,898,M1
29TBG5,Personenauto,AUDI,AUDI A3,20191130,stationwagen,5,ZWART,4,"1,598",M1
7XBS81,Personenauto,MAZDA,MAZDA 2,20140630,hatchback,5,ZWART,4,"1,349",M1
FGT68T,Bromfiets,STROMER,N/A,20210611,N.v.t.,1,N.v.t.,,,L1
MZGL47,Motorfiets,HARLEY DAVIDSON,FXDB DYNA STREET BOB,20220401,Niet geregistreerd,2,N.v.t.,2,"1,584",L3
F331PL,Bromfiets,PIAGGIO,N/A,20220402,N.v.t.,2,N.v.t.,1,50,L1
85TKH6,Personenauto,NISSAN,NISSAN QASHQAI,20170419,MPV,5,GRIJS,4,"1,598",M1
79XPBK,Personenauto,TOYOTA,TOYOTA AYGO,20070802,hatchback,4,ZWART,3,998,M1
64FDP4,Bromfiets,KREIDLER,,20191025,N.v.t.,,N.v.t.,,50,L1
DZV06G,Bromfiets,SYM,FIDDLE,20200901,N.v.t.,2,N.v.t.,1,49,L1
P900LF,Personenauto,VOLVO,S90,20220422,sedan,5,GRIJS,4,"1,969",M1
GX988B,Personenauto,OPEL,MOKKA,20150903,MPV,5,GRIJS,4,"1,598",M1
PV868S,Personenauto,PEUGEOT,208,20211027,hatchback,5,ZWART,3,"1,199",M1
10DP17,Personenauto,DATSUN,1000 LUXE,20150619,Niet geregistreerd,,BLAUW,4,,M1
1TXT66,Personenauto,PEUGEOT,308,20170501,MPV,5,BEIGE,4,"1,560",M1
68PPJN,Personenauto,RENAULT,MEGANE SCENIC,20211015,MPV,5,ZWART,4,"1,998",M1
RS732P,Personenauto,RENAULT,KADJAR,20220223,stationwagen,5,GRIJS,4,"1,461",M1
YP80TZ,Personenauto,MERCEDES-BENZ,190E 1.8 U9,19940331,sedan,,ROOD,4,"1,797",M1
XT171G,Personenauto,TESLA,MODEL 3,20190322,sedan,5,WIT,,,M1
GG852F,Personenauto,VOLVO,XC60,20160411,stationwagen,5,ZWART,4,"1,969",M1
6VXT10,Bedrijfsauto,PEUGEOT,PARTNER,20120820,gesloten opbouw,2,N.v.t.,4,"1,560",N1
82RPHF,Personenauto,RENAULT,TWINGO,20220709,hatchback,4,ZWART,4,"1,149",M1
