Kenteken,Voertuigsoort,Merk,Handelsbenaming,Datum tenaamstelling,Inrichting,Aantal zitplaatsen,Eerste kleur,Aantal cilinders,Cilinderinhoud,Europese voertuigcategorie
TJJ25N,Land- of bosbouwtrekker,FORD,7600,20210804,Niet geregistreerd,,N.v.t.,,,T
04HJJ6,Personenauto,VOLKSWAGEN,POLO,20201030,hatchback,5,GRIJS,4,"1,390",M1
7SLS50,Personenauto,VOLKSWAGEN,GOLF,20210710,stationwagen,5,ZWART,4,"1,197",M1
ZK566G,Personenauto,AUDI,A3 SPORTBACK,20190617,hatchback,5,ZWART,3,999,M1
JPDN71,Personenauto,PEUGEOT,106 TACCHINI 1.1,20181123,hatchback,,BLAUW,4,"1,124",M1
MGGF08,Motorfiets,HONDA,SC44,20200612,Niet geregistreerd,,N.v.t.,4,929,L3
N060BT,Personenauto,MERCEDES-BENZ,ML 280 CDI 4MATIC,20220309,stationwagen,5,ZWART,6,"2,987",M1
XV79ZH,Personenauto,AUTO UNION,AUDI 100 100KW U9,20020502,sedan,,GROEN,5,"2,309",M1
TV373F,Personenauto,SEAT,LEON ST,20181029,stationwagen,5,WIT,3,999,M1
76MPKS,Motorfiets,HARLEY DAVIDSON,FXSTD,20210909,Niet geregistreerd,2,N.v.t.,2,"1,584",L3
PGPL50,Personenauto,VOLKSWAGEN,GOLF CL VARIANT KAT D    47 KW,20150709,stationwagen,,BLAUW,4,"1,896",M1
46TRL8,Personenauto,OPEL,ASTRA SPORTS TOURER,20120328,MPV,5,GRIJS,4,"1,362",M1
H789KB,Personenauto,VOLVO,XC60,20220506,stationwagen,5,GRIJS,4,"1,969",M1
GT349G,Personenauto,OPEL,INSIGNIA LIMOUSINE NB,20180721,sedan,5,BLAUW,4,"1,598",M1
FFZ39R,Bromfiets,STROMER,N/A,20220708,N.v.t.,1,N.v.t.,,,L1
82LRJ7,Personenauto,HONDA,HONDA CR-V,20220207,MPV,5,GRIJS,4,"1,997",M1
60NSKG,Personenauto,FORD,FOCUS,20210429,stationwagen,5,GRIJS,4,"1,596",M1
MD16PH,Motorfiets,YAMAHA,XT 500,20070129,Niet geregistreerd,,N.v.t.,1,499,L3
FGV85D,Bromfiets,SYM,FIDDLE,20210715,N.v.t.,2,N.v.t.,1,49,L1
PP539F,Personenauto,TOYOTA,TOYOTA AYGO,20170828,hatchback,4,WIT,3,998,M1
42KXN2,Personenauto,HYUNDAI,I 10,20100324,MPV,5,BEIGE,4,"1,086",M1
84RHRZ,Personenauto,CHEVROLET,TACUMA,20210719,stationwagen,5,GRIJS,4,"1,998",M1
68SHPF,Personenauto,FORD,FIESTA,20150930,hatchback,5,GRIJS,4,"1,299",M1
56BSJR,Bedrijfsauto,VOLKSWAGEN,CADDY SDI 51 KW BESTEL,20210417,gesloten opbouw,2,N.v.t.,4,"1,968",N1
N309TZ,Personenauto,FORD,ECOSPORT,20220407,hatchback,5,GRIJS,3,998,M1
F760RB,Bromfiets,PUCH,PL 25 KM/H,20210421,N.v.t.,1,N.v.t.,0,49,L1
MR57LZ,Motorfiets,M.V. AGUSTA,350 S,20070626,Niet geregistreerd,,N.v.t.,2,349,L3
70HGP2,Personenauto,VOLKSWAGEN,POLO,20110924,hatchback,5,BLAUW,3,"1,198",M1
22TVHL,Personenauto,TOYOTA,TOYOTA YARIS,20101006,MPV,5,ZWART,4,"1,298",M1
2ZSJ96,Personenauto,LEXUS,LEXUS GS300H,20210717,sedan,5,ZWART,4,"2,494",M1
PZ822J,Personenauto,RENAULT,CLIO,20201202,hatchback,5,ZWART,4,"1,149",M1
67TTS4,Personenauto,VOLKSWAGEN,POLO,20210407,hatchback,5,GRIJS,4,"1,390",M1
NNGV75,Personenauto,DAIHATSU,CUORE AUTOMAAT,20191123,hatchback,,WIT,3,847,M1
V730PZ,Bedrijfsauto,MERCEDES-BENZ,SPRINTER,20180630,gesloten opbouw,3,N.v.t.,4,"2,143",N1
N934LR,Personenauto,KIA,SPORTAGE,20220404,MPV,5,ZWART,4,"1,591",M1
V558NB,Bedrijfsauto,STX,MASTER HORSEBOX,20180319,veewagen,3,N.v.t.,4,"2,299",N1
MN51DL,Motorfiets,HONDA,CB 650 C,20050903,Niet geregistreerd,,N.v.t.,4,626,L3
44TVGZ,Personenauto,CITROEN,CITROEN C1,20211230,hatchback,4,ROOD,3,998,M1
80NDF3,Personenauto,VOLKSWAGEN,CALIFORNIA,20100901,kampeerwagen,5,GRIJS,5,"2,461",M1
12RDN6,Personenauto,FORD,FIESTA,20110429,hatchback,5,WIT,4,"1,242",M1
07XLZP,Personenauto,VOLKSWAGEN,FOX,20210423,hatchback,4,ROOD,3,"1,198",M1
L676PP,Personenauto,VOLVO,XC40,20210708,stationwagen,5,ZWART,3,"1,477",M1
MTBJ43,Motorfiets,HONDA,ST1300A,20140913,Niet geregistreerd,2,N.v.t.,4,"1,261",L3
45PXZ7,Personenauto,OPEL,CORSA,20170704,MPV,5,BRUIN,4,"1,248",M1
30RZK8,Personenauto,MINI,ONE,20210813,hatchback,4,WIT,4,"1,598",M1
FT987P,Bromfiets,SAXONETTE,529,20180403,N.v.t.,,N.v.t.,1,30,L1
66MFLH,Motorfiets,YAMAHA,MT-07,20170405,Niet geregistreerd,2,N.v.t.,2,689,L3
MGJG52,Motorfiets,KAWASAKI,ER500A,20220212,Niet geregistreerd,,N.v.t.,2,499,L3
H947DL,Personenauto,TESLA,MODEL 3,20210618,sedan,5,ZWART,,,M1
6475UN,Personenauto,OPEL,COMMODORE COUPE,20040609,Niet geregistreerd,,GROEN,6,,M1
SH403B,Personenauto,ALFA ROMEO,GIULIA,20190509,sedan,5,ZWART,4,"1,995",M1
KN529L,Personenauto,RENAULT,CAPTUR,20210707,hatchback,5,ZWART,3,898,M1
AL4466,Personenauto,PEUGEOT,404C,20150418,coupe,,GRIJS,4,,M1
TX427R,Personenauto,LAND ROVER,RANGE ROVER SPORT,20210731,stationwagen,5,GRIJS,4,"1,997",M1
7VKP57,Bedrijfsauto,VOLKSWAGEN,CRAFTER 35 BESTEL L3 H2 80 KW AUT EURO5,20210607,gesloten opbouw,3,N.v.t.,5,"2,461",N1
PZ394T,Personenauto,NISSAN,NISSAN QASHQAI,20210717,MPV,5,WIT,4,"1,598",M1
GX626N,Personenauto,VOLKSWAGEN,GOLF,20160127,stationwagen,5,GRIJS,4,"1,968",M1
P619JD,Personenauto,MERCEDES-BENZ,CLA 180,20220329,stationwagen,5,WIT,4,"1,595",M1
RN761S,Personenauto,AUDI,A8,20180509,sedan,5,GRIJS,8,"3,697",M1
HN415K,Personenauto,VOLKSWAGEN,GOLF,20220520,stationwagen,5,ZWART,4,"1,395",M1
GS404D,Personenauto,SEAT,IBIZA,20191026,MPV,5,BLAUW,3,999,M1
9SGN12,Personenauto,NISSAN,NISSAN MICRA,20200222,MPV,5,ZWART,3,"1,198",M1
46RTDR,Personenauto,RENAULT,TWINGO,20201203,hatchback,4,ZWART,4,"1,149",M1
12RFVS,Personenauto,FORD,FOCUS,20190719,stationwagen,5,GRIJS,4,"1,596",M1
77VPBN,Bedrijfsauto,FIAT,230,20150916,kampeerwagen,,N.v.t.,4,,N1
P176LF,Personenauto,CITROEN,C3 AIRCROSS,20220608,MPV,5,GRIJS,3,"1,199",M1
F294PF,Bromfiets,PEUGEOT,TWEET,20140526,N.v.t.,2,N.v.t.,1,49,L1
NZ148R,Personenauto,RENAULT,ZOE,20170522,hatchback,5,WIT,,,M1
46TXH9,Personenauto,CHEVROLET,AVEO,20220406,hatchback,5,WIT,4,"1,229",M1
LPP15G,Land- of bosb aanhw of getr uitr stuk,ZELFBOUW,ONBEKEND,20220407,Niet geregistreerd,,N.v.t.,,,S
33JPZ8,Personenauto,CITROEN,CITROEN C1,20180418,hatchback,4,GRIJS,3,998,M1
6XPB66,Personenauto,MERCEDES-BENZ,SPRINTER,20210302,MPV,9,WIT,4,"1,796",M1
14BLG1,Bedrijfsauto,MERCEDES-BENZ,SPRINTER,20180806,gecond. met temperatuurreg.,2,N.v.t.,4,"2,143",N2
K803VG,Personenauto,CHEVROLET,CORVETTE SPORTS COUPE,20210310,coupe,2,ZWART,8,"5,735",M1
26LRLB,Personenauto,OPEL,ASTRA-G-CARAVAN,20150611,stationwagen,5,ZWART,4,"1,598",M1
52VXLD,Bedrijfsauto,LAND ROVER,109 PICK-UP,20120116,open wagen,,N.v.t.,4,,N1
66XRRV,Personenauto,SEAT,LEON,20121224,MPV,5,GRIJS,4,"1,595",M1
99MFNJ,Motorfiets,BMW,R 1200 R,20220405,Niet geregistreerd,2,N.v.t.,2,"1,170",L3
MU0122,Personenauto,TROJAN,604,20190307,Niet geregistreerd,,BLAUW,1,,M1
31XLZ6,Personenauto,KIA,PICANTO,20160304,MPV,5,WIT,4,"1,248",M1
TJK36F,Land- of bosbouwtrekker,FORD,4630,20210805,Niet geregistreerd,,N.v.t.,,,T
J960TS,Personenauto,BUERSTNER,BT6606,20201021,kampeerwagen,4,WIT,4,"2,143",M1
40SRX2,Personenauto,FORD,FIESTA,20180902,hatchback,5,GRIJS,4,"1,388",M1
SX656X,Personenauto,TESLA,MODEL S,20191030,hatchback,5,WIT,,,M1
K175GG,Personenauto,BMW,220I,20220407,coupe,4,ROOD,4,"1,997",M1
35NJST,Personenauto,OPEL,AGILA,20220709,MPV,5,ZWART,4,"1,199",M1
TG39HB,Personenauto,VOLVO,360 GLT S6,20081003,hatchback,,GRIJS,4,"1,986",M1
21RZBS,Personenauto,VOLKSWAGEN,GOLF,20190209,MPV,5,ZWART,4,"1,390",M1
DL903P,Bromfiets,TOMOS,A3-S25,20120622,N.v.t.,,N.v.t.,,49,L1
JB898B,Personenauto,OPEL,KARL / VIVA,20190112,hatchback,5,GRIJS,3,999,M1
TL924Z,Personenauto,PEUGEOT,PEUGEOT 107,20201031,hatchback,4,GRIJS,3,998,M1
RR724K,Personenauto,AUDI,A5 CABRIOLET,20210701,cabriolet,4,GRIJS,4,"1,984",M1
NV159F,Personenauto,OPEL,KARL / VIVA,20210908,hatchback,5,ZWART,3,999,M1
GG004D,Personenauto,TOYOTA,TOYOTA AYGO,20191101,hatchback,4,ZWART,3,998,M1
5TNN30,Personenauto,OPEL,CORSA,20180514,MPV,5,BLAUW,4,"1,398",M1
01TVV8,Personenauto,VOLKSWAGEN,PASSAT,20171013,sedan,5,GRIJS,4,"1,390",M1
MF82SF,Motorfiets,HONDA,VF 750 F,19840420,Niet geregistreerd,,N.v.t.,4,748,L3
96SHL8,Personenauto,NISSAN,NISSAN PIXO,20170607,hatchback,4,ROOD,3,996,M1
7KJK46,Personenauto,SEAT,IBIZA,20171104,MPV,5,WIT,4,"1,197",M1
TJZ92K,Land- of bosbouwtrekker,ZETOR,4712,20210824,Niet geregistreerd,,N.v.t.,,,T
V443PV,Bedrijfsauto,MERCEDES-BENZ,VITO,20180830,gesloten opbouw,3,N.v.t.,4,"2,143",N1
73HXH7,Personenauto,TOYOTA,TOYOTA URBAN CRUISER,20140312,MPV,5,ZWART,4,"1,329",M1
NK586K,Personenauto,CITROEN,C4 PICASSO,20170222,stationwagen,5,GRIJS,3,"1,199",M1
MPST45,Motorfiets,BMW,ROCKSTER,20200828,Niet geregistreerd,2,N.v.t.,2,"1,130",L3
F821PS,Bromfiets,SYM,MIO 50,20210922,N.v.t.,2,N.v.t.,1,50,L1
76LNN5,Personenauto,PEUGEOT,PEUGEOT 107,20211008,hatchback,4,ZWART,3,998,M1
KK552L,Personenauto,MITSUBISHI,MITSUBISHI SPACE STAR,20211210,hatchback,5,GRIJS,3,"1,193",M1
92JZDZ,Personenauto,CITROEN,2CVE,20021031,sedan,4,ROOD,,602,M1
G321LZ,Personenauto,TESLA,MODEL 3,20201014,sedan,5,ZWART,,,M1
JP714N,Personenauto,OPEL,ASTRA SPORTS TOURER,20160523,stationwagen,5,WIT,3,999,M1
3SHZ91,Personenauto,TOYOTA,TOYOTA AYGO,20131107,hatchback,4,GRIJS,3,998,M1
FS101H,Bromfiets,TANTE PAULA,ES07,20160528,N.v.t.,1,N.v.t.,0,,L1
F979FG,Bromfiets,PIAGGIO,C25,20220709,N.v.t.,2,N.v.t.,1,50,L1
P597ZS,Personenauto,KIA,NIRO,20220709,stationwagen,5,GRIJS,4,"1,580",M1
FDR73H,Bromfiets,KYMCO,NEW LIKE,20210911,N.v.t.,2,N.v.t.,1,50,L1
LPX16K,Land- of bosb aanhw of getr uitr stuk,ZELFBOUW,ONBEKEND,20220429,Niet geregistreerd,,N.v.t.,,,R
SF785G,Personenauto,RENAULT,KADJAR,20220407,stationwagen,5,GRIJS,4,"1,197",M1
35TSTD,Personenauto,CITROEN,U*****,20170429,stationwagen,7,GRIJS,4,"1,997",M1
04HHV5,Personenauto,VOLKSWAGEN,PASSAT CC,20210624,sedan,4,ZWART,4,"1,968",M1
DB144H,Bromfiets,KREIDLER,,20060814,N.v.t.,,N.v.t.,,50,L1
28GBS3,Personenauto,SEAT,IBIZA,20151010,MPV,5,ZWART,4,"1,390",M1
21JXK1,Personenauto,NISSAN,PIXO,20200724,hatchback,4,GRIJS,3,996,M1
40XVVX,Personenauto,TOYOTA,TOYOTA AURIS,20071020,hatchback,5,BLAUW,4,"1,598",M1
MF24ZR,Motorfiets met zijspan,BMW,20    ,20200129,Niet geregistreerd,3,N.v.t.,2,745,L4
1SZV46,Personenauto,RENAULT,TWINGO,20170502,hatchback,4,WIT,4,"1,149",M1
6XKS93,Personenauto,PEUGEOT,PEUGEOT 108,20141121,hatchback,4,BLAUW,3,"1,199",M1
N447GF,Personenauto,MERCEDES-BENZ,A 200,20220617,stationwagen,5,WIT,4,"1,595",M1
9XVF25,Personenauto,SKODA,OCTAVIA,20180531,stationwagen,5,BLAUW,4,"1,197",M1
PH126J,Personenauto,CARTHAGO,CHIC C-LINE I 4.9,20220709,kampeerwagen,4,WIT,4,"2,287",M1
44SZLH,Personenauto,TOYOTA,TOYOTA COROLLA,20160614,sedan,5,ROOD,4,"1,398",M1
TGF83D,Land- of bosbouwtrekker,NEW HOLLAND,T3030,20210506,Niet geregistreerd,,N.v.t.,,,T
39LVJ1,Personenauto,CITROEN,CITROEN C1,20110414,hatchback,4,ZWART,3,998,M1
5XHH60,Personenauto,PEUGEOT,308,20210705,MPV,5,ZWART,4,"1,560",M1
40SGTL,Personenauto,SUZUKI,IGNIS,20120901,stationwagen,5,ZWART,4,"1,490",M1
4KKZ20,Personenauto,FORD,B-MAX,20140627,MPV,5,ZWART,3,998,M1
DHK72P,Bromfiets,PIAGGIO,VESPA SPRINT,20220408,N.v.t.,2,N.v.t.,1,50,L1
43GLN4,Personenauto,TOYOTA,TOYOTA YARIS,20170310,MPV,5,GRIJS,3,998,M1
46VZT6,Bedrijfsauto,IVECO,40C12 EURO 4,20120403,gesloten opbouw,3,N.v.t.,4,"2,287",N1
PS066R,Personenauto,SUZUKI,VITARA,20170915,hatchback,5,ZWART,4,"1,586",M1
TS649Z,Personenauto,OPEL,CORSA,20190208,MPV,5,GRIJS,4,"1,229",M1
DK416K,Bromfiets,TOMOS,A35-HDA,20180904,N.v.t.,,N.v.t.,,49,L1
2KGT84,Personenauto,BENIMAR,BENIMAR CO GO410,20200910,kampeerwagen,4,WIT,4,"2,198",M1
3VSN40,Bedrijfsauto,VOLKSWAGEN,TRANSPORTER,20210716,gesloten opbouw,3,N.v.t.,4,"1,968",N1
J186TD,Personenauto,SEAT,ARONA,20220709,hatchback,5,GRIJS,3,999,M1
53FRKL,Personenauto,MERCEDES-BENZ,CL 420,20210324,coupe,,PAARS,8,,M1
EA2330,Personenauto,MG,TD MIDGET,20080311,Niet geregistreerd,,ROOD,4,,M1
31ZSX2,Personenauto,FORD,B-MAX,20160610,MPV,5,GRIJS,3,998,M1
07VFG2,Bedrijfsauto,FIAT,DOBLO 1.3 JTD DPF,20190114,gesloten opbouw,2,N.v.t.,4,"1,248",N1
G743HZ,Personenauto,PEUGEOT,508,20191022,hatchback,5,GRIJS,4,"1,598",M1
34XGJ6,Personenauto,VOLVO,C30,20190904,coupe,4,WIT,4,"1,560",M1
84ZRBH,Personenauto,KIA,RIO,20200321,MPV,5,GRIJS,4,"1,399",M1
MD72XH,Motorfiets,HONDA,GL 500 D,20201120,Niet geregistreerd,,N.v.t.,2,496,L3
ZL9002,Motorfiets,HONDA,CB 125 N,19910614,Niet geregistreerd,,N.v.t.,1,124,L3
MV45DF,Motorfiets,HONDA,GL1500 GOLDWING,19950701,Niet geregistreerd,,N.v.t.,6,"1,520",L3
32LNFN,Personenauto,SMART,SMART,20051228,coupe,2,ZWART,3,698,M1
28RGVB,Personenauto,CITROEN,C4,20220428,hatchback,5,BLAUW,4,"1,587",M1
V405JB,Bedrijfsauto,FORD,PLATINUM,20170909,pick-up truck,4,N.v.t.,8,"6,651",N1
KD603Z,Personenauto,VOLKSWAGEN,GOLF PLUS,20211106,MPV,5,BLAUW,4,"1,390",M1
JR707G,Personenauto,OPEL,CORSA-E,20160823,hatchback,5,GRIJS,4,"1,398",M1
HJ409F,Personenauto,VOLVO,V40,20190521,MPV,5,ZWART,4,"1,969",M1
01SPSV,Personenauto,SEAT,LEON,20220105,MPV,5,ZWART,4,"1,984",M1
P130PK,Personenauto,RENAULT,ARKANA E-TECH,20220511,hatchback,5,WIT,4,"1,598",M1
N069BD,Personenauto,VOLVO,XC40,20220223,stationwagen,5,WIT,4,"1,969",M1
11BNR1,Bedrijfsauto,MERCEDES-BENZ,ACTROS,20190805,opleggertrekker,2,N.v.t.,6,"12,809",N3
L707LR,Personenauto,FORD,KUGA,20210623,MPV,5,ZWART,4,"2,488",M1
37LPR9,Personenauto,VOLKSWAGEN,POLO,20210820,hatchback,5,GRIJS,4,"1,390",M1
4VBB06,Bedrijfsauto,FORD,TRANSIT 260S DC LR 115 4.36,20210123,gesloten opbouw,6,N.v.t.,4,"2,198",N1
05DDBF,Personenauto,HONDA,ACCORD COUPE,20180107,Niet geregistreerd,,GRIJS,4,,M1
NF316B,Personenauto,VOLKSWAGEN,POLO,20190814,hatchback,5,ROOD,3,999,M1
DM1450,Personenauto,NEKAF,M 38 A1,20080419,Niet geregistreerd,,GROEN,4,,M1
79LFZ7,Personenauto,RENAULT,TWINGO,20190531,hatchback,4,ROOD,4,"1,149",M1
19TTTN,Personenauto,KIA,SORENTO,20180131,MPV,5,GRIJS,6,"3,342",M1
ZG091S,Personenauto,VOLKSWAGEN,TOURAN,20190528,stationwagen,5,GRIJS,4,"1,395",M1
13FSP7,Bromfiets,KYMCO,AGILITY50,20140307,N.v.t.,2,N.v.t.,1,49,L1
25SXJ3,Personenauto,VOLKSWAGEN,POLO,20171027,hatchback,5,GRIJS,4,"1,197",M1
72MJNV,Motorfiets,MOTO GUZZI,N/A,20180610,Niet geregistreerd,2,N.v.t.,2,"1,151",L3
BG45HS,Bedrijfsauto,SCANIA,TH4X2Z,20130123,opleggertrekker,,N.v.t.,6,,N3
BG75BR,Bedrijfsauto,CITROEN,ACADIANE,20050730,gesloten opbouw,,N.v.t.,2,,N1
DZK01V,Bromfiets,LA SOURIS,SOURINI RS,20210708,N.v.t.,2,N.v.t.,1,50,L1
05FLLK,Personenauto,SUBARU,FORESTER,20220514,stationwagen,5,GROEN,4,"1,994",M1
G352PB,Personenauto,TESLA,MODEL 3,20191119,sedan,5,ZWART,,,M1
88ZFLF,Personenauto,PEUGEOT,308,20190114,hatchback,5,ROOD,4,"1,598",M1
89LNR5,Personenauto,FORD,KA,20101029,MPV,4,ZWART,4,"1,242",M1
SX508T,Personenauto,RENAULT,CAPTUR,20180626,hatchback,5,ORANJE,4,"1,197",M1
XJJR31,Personenauto,SUZUKI,BALENO,19990903,stationwagen,5,ROOD,4,"1,590",M1
BE7827,Bedrijfsauto,SCANIA-VABIS,L71,20140530,neerklapbare zijschotten,3,N.v.t.,6,"9,348",N3
SJ910J,Personenauto,RENAULT,ZOE,20210629,hatchback,5,GRIJS,,,M1
JD865T,Personenauto,VOLKSWAGEN,POLO,20200220,hatchback,5,GRIJS,4,"1,197",M1
ML40HV,Motorfiets,SUZUKI,GN 250,20060211,Niet geregistreerd,,N.v.t.,1,249,L3
43BJPL,Bedrijfsauto,KIA,SORENTO 2.5 CRDI VAN M/T (TOD),20220709,gesloten opbouw,2,N.v.t.,4,"2,497",N1
GR138P,Personenauto,TESLA MOTORS,MODEL S,20200728,hatchback,5,ROOD,,,M1
FDH33P,Bromfiets,PEUGEOT,KISBEE,20200924,N.v.t.,2,N.v.t.,1,49,L1
PH992F,Personenauto,CITROEN,C1,20220106,hatchback,4,GRIJS,3,998,M1
56GSBB,Personenauto,PEUGEOT,306,20140125,cabriolet,5,BLAUW,4,"1,587",M1
73BBF4,Bedrijfsauto,SCANIA,G 420 A 6X2/4,20121019,opleggertrekker,2,N.v.t.,6,"11,705",N3
8TZZ96,Personenauto,NISSAN,NISSAN NOTE,20181005,MPV,5,GRIJS,3,"1,198",M1
69JJ05,Personenauto,BMW,320 AUTOMATIC,20120503,Niet geregistreerd,,BEIGE,4,,M1
06MBZR,Motorfiets,KTM,KTM 450 EXC,20180412,Niet geregistreerd,1,N.v.t.,1,449,L3
19ZKZJ,Personenauto,TOYOTA,TOYOTA AYGO,20200924,hatchback,4,ROOD,3,998,M1
40XBF8,Personenauto,CHEVROLET,AVEO,20161216,hatchback,5,BLAUW,4,"1,248",M1
ZR139H,Personenauto,PEUGEOT,5008,20200717,MPV,7,GRIJS,4,"1,598",M1
MN84BY,Motorfiets,SUZUKI,VS 1400,20181109,Niet geregistreerd,,N.v.t.,2,"1,360",L3
34XPJK,Personenauto,OPEL,ZAFIRA,20220709,MPV,7,ZWART,4,"1,796",M1
74BBD8,Bedrijfsauto,MERCEDES-BENZ,ACTROS 1841 LS,20151019,opleggertrekker,3,N.v.t.,6,"11,946",N3
NT516D,Personenauto,RENAULT,MEGANE SCENIC,20170414,hatchback,5,GRIJS,4,"1,397",M1
06NPBG,Personenauto,SUZUKI,IGNIS,20220319,stationwagen,5,ROOD,4,"1,328",M1
DBG63X,Bromfiets,KYMCO,B1,20150515,N.v.t.,,N.v.t.,1,50,L1
GV382H,Personenauto,OPEL,INSIGNIA SPORTS TOURER SW,20190301,stationwagen,5,ZWART,4,"1,598",M1
12ZNVS,Personenauto,VOLVO,S40,20220709,sedan,5,ZWART,4,"1,798",M1
K619TJ,Personenauto,SEAT,ATECA,20210702,stationwagen,5,WIT,4,"1,395",M1
41GST1,Personenauto,FORD,KA,20200505,hatchback,4,BLAUW,4,"1,299",M1
DGN87K,Bromfiets,PIAGGIO,N/A,20200111,N.v.t.,2,N.v.t.,1,50,L1
TPK67P,Land- of bosbouwtrekker,KUBOTA,B2150,20211028,Niet geregistreerd,,N.v.t.,,,T
1KKB24,Personenauto,SUZUKI,SPLASH,20130523,stationwagen,5,BLAUW,4,"1,242",M1
20BDVG,Bedrijfsauto,LAND ROVER,109 PICK-UP,20120321,open wagen,,N.v.t.,4,,N1
36TRRZ,Personenauto,SUZUKI,SX4,20190606,hatchback,5,GRIJS,4,"1,586",M1
JL653S,Personenauto,OPEL,KARL / VIVA,20210723,hatchback,5,GRIJS,3,999,M1
3ZBK96,Personenauto,PEUGEOT,308,20190603,hatchback,5,ZWART,4,"1,598",M1
SN091Z,Driewielig motorrijtuig,PIAGGIO,M64,20220214,Niet geregistreerd,2,N.v.t.,1,244,L5
5XSN19,Personenauto,PEUGEOT,308,20200417,MPV,5,GRIJS,4,"1,560",M1
V054NX,Bedrijfsauto,OPEL,VIVARO-B,20180426,gesloten opbouw,5,N.v.t.,4,"1,598",N1
DFV01N,Bromfiets,CAPRI,CL,20210423,N.v.t.,2,N.v.t.,1,50,L1
XJ999Z,Personenauto,SKODA,FABIA,20190118,stationwagen,5,WIT,4,"1,390",M1
5KTN77,Personenauto,KIA,PICANTO,20180803,MPV,5,ZWART,4,"1,248",M1
71VJD6,Bedrijfsauto,VOLKSWAGEN,TRANSPORTER BESTEL TDI 75 KW,20151007,gesloten opbouw,3,N.v.t.,4,"1,896",N1
L494GR,Personenauto,FORD,KUGA,20220407,MPV,5,ZWART,4,"2,488",M1
MV82RX,Motorfiets,SUZUKI,MINNESOTA TWIN 600,20140603,Niet geregistreerd,,N.v.t.,2,598,L3
14PHVH,Personenauto,FORD,MONDEO,20210605,stationwagen,5,BLAUW,6,"2,495",M1
NH725T,Personenauto,SKODA,FABIA,20180406,hatchback,5,GRIJS,4,"1,197",M1
AE6658,Personenauto,NEKAF,M38A1,19990710,terreinvoertuig,,GROEN,4,,M1
KT077X,Personenauto,SEAT,ATECA,20211129,stationwagen,5,ORANJE,4,"1,395",M1
43RBJ5,Personenauto,TOYOTA,TOYOTA VERSO-S,20210805,hatchback,5,PAARS,4,"1,329",M1
39RTV1,Personenauto,CHEVROLET,SPARK,20181228,hatchback,5,ZWART,4,995,M1
GL940N,Personenauto,NISSAN,NISSAN QASHQAI,20210604,MPV,5,BRUIN,4,"1,618",M1
P323FX,Personenauto,BMW,330I,20220709,sedan,5,GRIJS,4,"1,998",M1
MS31YF,Motorfiets,HONDA,XL 600V TRANSALP,20200523,Niet geregistreerd,,N.v.t.,2,583,L3
TH060Z,Personenauto,BMW,X REIHE,20190102,stationwagen,5,ZWART,6,"2,926",M1
31FFRR,Personenauto,OPEL,OMEGA-B,20210616,sedan,5,ZWART,4,"2,198",M1
RV46TR,Personenauto,ALFA ROMEO,ALFA 90 QUADRIFOGLIO ORO,20190513,sedan,5,GRIJS,6,"2,492",M1
L413ZT,Personenauto,FORD,MUSTANG MACH-E,20210923,hatchback,5,ZWART,,,M1
68XPN7,Personenauto,VOLKSWAGEN,PASSAT,20220124,stationwagen,5,GRIJS,4,"1,598",M1
TL520X,Personenauto,TESLA,MODEL S,20180907,hatchback,5,GRIJS,,,M1
LPP68H,Land- of bosb aanhw of getr uitr stuk,ZELFBOUW,ONBEKEND,20220407,Niet geregistreerd,,N.v.t.,,,R
7528GV,Land- of bosbouwtrekker,LAMBORGHINI,R 653,20210323,Niet geregistreerd,,N.v.t.,,,T
1ZPH68,Personenauto,VOLVO,XC60,20191111,stationwagen,5,BRUIN,4,"1,969",M1
21MHKS,Motorfiets,YAMAHA,MT-09,20170324,Niet geregistreerd,2,N.v.t.,3,847,L3
J247NS,Personenauto,OPEL,CORSA-E,20210403,hatchback,5,BLAUW,4,"1,398",M1
82LRL8,Personenauto,TOYOTA,TOYOTA VERSO,20100618,stationwagen,5,GRIJS,4,"1,598",M1
21TDZR,Personenauto,FORD,FIESTA,20180707,hatchback,5,GEEL,4,"1,596",M1
47MBDZ,Motorfiets,APRILIA,N/A,20220709,Niet geregistreerd,2,N.v.t.,1,278,L3
DKP98P,Bromfiets,TURBHO,RL-50,20170517,N.v.t.,2,N.v.t.,1,50,L1
49DGN8,Bromfiets,TOMOS,A3,20190520,N.v.t.,,N.v.t.,1,49,L1
XJ010V,Personenauto,FORD,FIESTA,20190206,hatchback,5,BLAUW,4,"1,242",M1
36JTRX,Personenauto,OPEL,ASTRA-G-CC,20150708,hatchback,5,ZWART,4,"1,598",M1
32YB61,Personenauto,MG,B,20080428,cabriolet,2,ORANJE,4,"1,767",M1
ZB531X,Personenauto,MERCEDES-BENZ,V-KLASSE,20210528,MPV,8,ZWART,4,"2,143",M1
37MGPT,Motorfiets,HARLEY DAVIDSON,FLSTSCI SPRINGER CLASSIC,20160503,Niet geregistreerd,2,N.v.t.,2,"1,449",L3
JB542J,Personenauto,PEUGEOT,208,20210806,hatchback,5,ZWART,3,"1,199",M1
P732LF,Personenauto,CUPRA,BORN,20220428,stationwagen,5,GRIJS,,,M1
04JVVH,Personenauto,BMW,X REIHE,20220709,stationwagen,5,GRIJS,8,"4,398",M1
